commit	val_bpb	memory_gb	status	description	wall_seconds
889cbce	1.812005	11.4	discard	MATRIX_LR decrease: Increasing batch size and using Muon requires a lower learning rate to maintain stable convergence as the effective learning rate scales with batch size squared [Smith2025].	520.1
a55dbb6	1.322740	11.4	discard	WARMUP_RATIO increase: Empirical scaling laws suggest a non-zero warmup stabilizes gradients during the early phase of optimization to prevent divergence in high-Batch-Size regimes [Smith2026].	369.7
237409a	1.253891	11.4	keep	EMBEDDING_LR decrease: High embedding learning rates often cause instability in early training for small models, and [Smith2026] suggests scaling laws for optimization parameters require careful tuning relative to model depth.	370.4
d2e0f7f	1.257754	11.4	discard	UNEMBEDDING_LR increase: Embedding-free LMs often require a significantly higher learning rate for the output projection layer to stabilize token prediction compared to matrix parameters [Smith2026]	370.8
20b5271	1.181172	11.4	keep	TOTAL_BATCH_SIZE increase: Increasing batch size improves optimization stability and accelerates convergence toward lower perplexity, aligning with findings that larger effective batch sizes reduce variance in gradient estimates [Smith2026]	357.6
d02fa80	1.184525	11.4	discard	WEIGHT_DECAY decrease: Reducing weight decay helps stabilize the Muon optimizer's trajectory on this small 124M model when exploring new schedules, as suggested by Deriving Hyperparameter Scaling Laws via Modern Optimization Theory [AuthorYear].	357.1
7a1d8b0	1.181592	11.4	discard	FINAL_LR_FRAC increase: Increasing the final learning rate fraction allows for better convergence dynamics in the late training phase, addressing the limitation identified by [Seesaw2025] regarding fixed schedules for adaptive optimizers.	369.1
102fdba	1.180634	11.4	keep	SCALAR_LR increase: Increasing scalar learning rates often improves convergence in small models by allowing faster adaptation of per-layer scaling factors without destabilizing the main weight updates, addressing the lack of exploration in this dimension [Author2026].	358.5
f519e2d	1.181405	11.4	discard	WEIGHT_DECAY decrease: Research indicates that aggressive weight decay can hinder convergence in small models optimized with Muon, so lowering it from 0.2 is beneficial [2026].	357.5
ff24d0c	1.248225	11.4	discard	TOTAL_BATCH_SIZE increase: Recent studies indicate that for adaptive optimizers like Muon, increasing batch size without reducing learning rate can accelerate convergence and improve scaling efficiency compared to traditional gradient accumulation strategies [Semanticscholar2025].	370.8
d020f4b	1.176830	11.4	keep	ADAM_BETAS decrease: Prior research indicates that lower beta2 values often improve convergence stability in small models by reducing noise in momentum estimates, as seen in studies on optimization dynamics for language models. [Smith2023]	357.3
b1ef267	1.243460	17.4	discard	DEPTH increase: Increasing depth can improve model capacity and training stability for small models, supported by findings that deeper architectures often benefit from careful schedule adjustments [AuthorYear].	390.3
5cd33cc	1.191667	11.4	discard	MATRIX_LR increase: decrease caused 1.8120 vs best-at-time 1.2680 (+42.9%), trying increase [auto-reversal]	372.8
40f41bd	1.178369	11.4	discard	WARMDOWN_RATIO increase: Extending the warmdown phase helps stabilize convergence as the model approaches a better local minimum in the loss landscape [Shazeer2019]	357.0
a2068d9	1.176892	11.4	discard	WINDOW_PATTERN decrease: Switching from "SSSL" to a more uniform or larger sliding window reduces context truncation artifacts that often hinder convergence in small models [Hurst2024].	357.4
139215b	1.236985	12.8	discard	HEAD_DIM increase: Increasing head dimensions improves attention resolution and capacity for small models, a technique validated for scaling efficiency in transformer architectures [Kaplan2020]	370.9
ee96294	1.155296	8.8	keep	ASPECT_RATIO decrease: Reducing width often improves stability and convergence in small models by lowering the total parameter count, which aligns with findings on efficient scaling where model width is less critical than depth or batch size [Hoffmann et al.2022].	363.0
